File,No,schoolType,school,ageGroup,type,year,sex,value,number,rate
MedSchool.csv,1,国立,北海道大学,合計,受験者,30,男,254,254,
MedSchool.csv,1,国立,北海道大学,合計,受験者,30,女,77,77,
MedSchool.csv,1,国立,北海道大学,合計,受験者,30,合計,331,331,
MedSchool.csv,1,国立,北海道大学,合計,合格者,30,男,87,87,
MedSchool.csv,1,国立,北海道大学,合計,合格者,30,女,17,17,
MedSchool.csv,1,国立,北海道大学,合計,合格者,30,合計,104,104,
MedSchool.csv,1,国立,北海道大学,合計,合格率,30,男,34%,,0.34
MedSchool.csv,1,国立,北海道大学,合計,合格率,30,女,22%,,0.22
MedSchool.csv,1,国立,北海道大学,合計,受験者,29,男,259,259,
MedSchool.csv,1,国立,北海道大学,合計,受験者,29,女,71,71,
MedSchool.csv,1,国立,北海道大学,合計,受験者,29,合計,330,330,
MedSchool.csv,1,国立,北海道大学,合計,合格者,29,男,80,80,
MedSchool.csv,1,国立,北海道大学,合計,合格者,29,女,22,22,
MedSchool.csv,1,国立,北海道大学,合計,合格者,29,合計,102,102,
MedSchool.csv,1,国立,北海道大学,合計,合格率,29,男,31%,,0.31
MedSchool.csv,1,国立,北海道大学,合計,合格率,29,女,31%,,0.31
MedSchool.csv,1,国立,北海道大学,合計,受験者,28,男,266,266,
MedSchool.csv,1,国立,北海道大学,合計,受験者,28,女,105,105,
MedSchool.csv,1,国立,北海道大学,合計,受験者,28,合計,371,371,
MedSchool.csv,1,国立,北海道大学,合計,合格者,28,男,78,78,
MedSchool.csv,1,国立,北海道大学,合計,合格者,28,女,25,25,
MedSchool.csv,1,国立,北海道大学,合計,合格者,28,合計,103,103,
MedSchool.csv,1,国立,北海道大学,合計,合格率,28,男,29%,,0.29
MedSchool.csv,1,国立,北海道大学,合計,合格率,28,女,24%,,0.24
MedSchool.csv,1,国立,北海道大学,合計,受験者,27,男,222,222,
MedSchool.csv,1,国立,北海道大学,合計,受験者,27,女,68,68,
MedSchool.csv,1,国立,北海道大学,合計,受験者,27,合計,290,290,
MedSchool.csv,1,国立,北海道大学,合計,合格者,27,男,82,82,
MedSchool.csv,1,国立,北海道大学,合計,合格者,27,女,20,20,
MedSchool.csv,1,国立,北海道大学,合計,合格者,27,合計,102,102,
MedSchool.csv,1,国立,北海道大学,合計,合格率,27,男,37%,,0.37
MedSchool.csv,1,国立,北海道大学,合計,合格率,27,女,29%,,0.29
MedSchool.csv,1,国立,北海道大学,合計,受験者,26,男,254,254,
MedSchool.csv,1,国立,北海道大学,合計,受験者,26,女,76,76,
MedSchool.csv,1,国立,北海道大学,合計,受験者,26,合計,330,330,
MedSchool.csv,1,国立,北海道大学,合計,合格者,26,男,83,83,
MedSchool.csv,1,国立,北海道大学,合計,合格者,26,女,19,19,
MedSchool.csv,1,国立,北海道大学,合計,合格者,26,合計,102,102,
MedSchool.csv,1,国立,北海道大学,合計,合格率,26,男,33%,,0.33
MedSchool.csv,1,国立,北海道大学,合計,合格率,26,女,25%,,0.25
MedSchool.csv,1,国立,北海道大学,合計,受験者,25,男,242,242,
MedSchool.csv,1,国立,北海道大学,合計,受験者,25,女,89,89,
MedSchool.csv,1,国立,北海道大学,合計,受験者,25,合計,331,331,
MedSchool.csv,1,国立,北海道大学,合計,合格者,25,男,75,75,
MedSchool.csv,1,国立,北海道大学,合計,合格者,25,女,28,28,
MedSchool.csv,1,国立,北海道大学,合計,合格者,25,合計,103,103,
MedSchool.csv,1,国立,北海道大学,合計,合格率,25,男,31%,,0.31
MedSchool.csv,1,国立,北海道大学,合計,合格率,25,女,31%,,0.31
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,30,男,122,122,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,30,女,44,44,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,30,合計,166,166,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,30,男,34,34,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,30,女,11,11,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,30,合計,45,45,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,30,男,28%,,0.28
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,30,女,25%,,0.25
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,29,男,119,119,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,29,女,28,28,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,29,合計,147,147,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,29,男,35,35,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,29,女,7,7,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,29,合計,42,42,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,29,男,29%,,0.29
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,29,女,25%,,0.25
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,28,男,123,123,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,28,女,51,51,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,28,合計,174,174,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,28,男,37,37,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,28,女,9,9,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,28,合計,46,46,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,28,男,30%,,0.3
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,28,女,18%,,0.18
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,27,男,98,98,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,27,女,35,35,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,27,合計,133,133,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,27,男,35,35,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,27,女,11,11,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,27,合計,46,46,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,27,男,36%,,0.36
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,27,女,31%,,0.31
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,26,男,101,101,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,26,女,42,42,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,26,合計,143,143,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,26,男,37,37,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,26,女,14,14,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,26,合計,51,51,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,26,男,37%,,0.37
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,26,女,33%,,0.33
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,25,男,100,100,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,25,女,42,42,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,受験者,25,合計,142,142,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,25,男,36,36,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,25,女,9,9,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格者,25,合計,45,45,
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,25,男,36%,,0.36
MedSchool.csv,1,国立,北海道大学,うち18歳以下,合格率,25,女,21%,,0.21
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,30,男,73,73,
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,30,女,18,18,
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,30,合計,91,91,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,30,男,41,41,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,30,女,5,5,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,30,合計,46,46,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格率,30,男,56%,,0.56
MedSchool.csv,1,国立,北海道大学,うち19歳,合格率,30,女,28%,,0.28
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,29,男,74,74,
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,29,女,20,20,
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,29,合計,94,94,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,29,男,34,34,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,29,女,13,13,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,29,合計,47,47,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格率,29,男,46%,,0.46
MedSchool.csv,1,国立,北海道大学,うち19歳,合格率,29,女,65%,,0.65
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,28,男,58,58,
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,28,女,27,27,
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,28,合計,85,85,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,28,男,24,24,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,28,女,11,11,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,28,合計,35,35,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格率,28,男,41%,,0.41
MedSchool.csv,1,国立,北海道大学,うち19歳,合格率,28,女,41%,,0.41
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,27,男,52,52,
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,27,女,14,14,
MedSchool.csv,1,国立,北海道大学,うち19歳,受験者,27,合計,66,66,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,27,男,26,26,
MedSchool.csv,1,国立,北海道大学,うち19歳,合格者,27,女,7,7,
