北海道4農林水産副大臣,中村 裕之なかむら ひろゆき3,https://twitter.com/nakamurahiro3
北海道5内閣委員会特別委）地方創生特別委）東日本大震災復興,和田 義明わだ よしあき2,https://twitter.com/ywada_hokkaido5
北海道7農林水産委員会特別委）沖縄・北方問題特別委）地方創生,伊東 良孝いとう よしたか4,empty
北海道9国土交通委員会特別委）災害対策特別委）北朝鮮による拉致問題,堀井 学ほりい まなぶ3,https://twitter.com/horiimanabu
北海道12農林水産副大臣,武部 新たけべ あらた3,https://twitter.com/takebearata
北海道10農林水産委員会特別委）沖縄・北方問題,稲津 久いなつ ひさし4,https://twitter.com/InatsuHisashi
北海道1憲法審査会国土交通委員会総務委員会新,道下 大樹みちした だいき1,https://twitter.com/michishitadaiki
北海道2環境委員会元,松木 謙公まつき けんこう5,https://twitter.com/kenkou64865187
北海道3国土交通委員会国家基本政策委員会政治倫理審査会特別委）原子力問題調査,荒井 聰あらい さとし8,https://twitter.com/satoshisatoshia
北海道6農林水産委員会特別委）沖縄・北方問題,佐々木 隆博ささき たかひろ4,https://twitter.com/sasaki_stop_tpp
北海道8予算委員会経済産業委員会特別委）原子力問題調査,逢坂 誠二おおさか せいじ4,https://twitter.com/seiji_ohsaka
北海道11農林水産委員会特別委）沖縄・北方問題新,石川 香織いしかわ かおり1■,https://twitter.com/ishikawakaori11
比)北海道総務大臣政務官総務委員会,渡辺 孝一わたなべ こういち3,empty
比)北海道外務副大臣,鈴木 貴子すずき たかこ3■,https://twitter.com/_SuzukiTakako_
比)北海道財務金融委員会特別委）北朝鮮による拉致問題特別委）東日本大震災復興元,船橋 利実ふなはし としみつ2,https://twitter.com/t_funahashi
比)北海道議院運営委員会特別委）沖縄・北方問題,佐藤 英道さとう ひでみち3,https://twitter.com/hidemichisato
比)北海道法務委員会決算行政監視委員会特別委）災害対策新,池田 真紀いけだ まき1■,https://twitter.com/ikemakihonki
比)北海道農林水産委員会総務委員会特別委）災害対策新,神谷 裕かみや ひろし1,empty
比)北海道経済産業委員会特別委）科学技術・イノベーション推進元,山岡 達丸やまおか たつまる2,https://twitter.com/tatumaru1979
比)北海道安全保障委員会特別委）科学技術・イノベーション推進元,山崎 摩耶やまざき まや2■,https://twitter.com/YamazakiMaya
青森1法務副大臣,津島 淳つしま じゅん3,https://twitter.com/tsushimajun
青森2,大島 理森おおしま ただもり12,https://twitter.com/tadamori_oshima
青森3国土交通大臣政務官国土交通委員会新,木村 次郎きむら じろう1,https://twitter.com/jiro_k_tsugaru
岩手1法務委員会財務金融委員会特別委）東日本大震災復興,階 猛しな たけし5,https://twitter.com/shinatakeshi
岩手3懲罰委員会,小沢 一郎おざわ いちろう17,https://twitter.com/ozawa_jimusho
岩手2財務大臣 内閣府特命担当大臣（金融）デフレ脱却担当,鈴木 俊一すずき しゅんいち9,empty
宮城1国土交通委員会特別委）原子力問題調査,土井 亨どい とおる4,https://twitter.com/doitooru812
宮城2憲法審査会予算委員会,秋葉 賢也あきば けんや6,https://twitter.com/akibakenya
宮城3経済産業委員会特別委）科学技術・イノベーション推進,西村 明宏にしむら あきひろ5,empty
宮城4外務委員会特別委）消費者問題特別委）東日本大震災復興,伊藤 信太郎いとう しんたろう6,https://twitter.com/ShintaroIto205
宮城6国家基本政策委員会情報監視審査会,小野寺 五典おのでら いつのり6,https://twitter.com/itsunori510
宮城5懲罰委員会,安住 淳あずみ じゅん8,empty
秋田1復興副大臣,冨樫 博之とがし ひろゆき3,https://twitter.com/hiroyukitogash
秋田2予算委員会,金田 勝年かねだ かつとし4,empty
秋田3文部科学委員会国土交通委員会国家基本政策委員会決算行政監視委員会議院運営委員会政治倫理審査会,御法川 信英みのりかわ のぶひで5,https://twitter.com/minorikawa_nobu
山形1懲罰委員会,遠藤 利明えんどう としあき8,https://twitter.com/Team_e_toshiaki
山形2憲法審査会外務委員会国土交通委員会農林水産委員会総務委員会議院運営委員会政治倫理審査会特別委）災害対策特別委）地方創生,鈴木 憲和すずき のりかず3,empty
山形3国土交通大臣政務官国土交通委員会,加藤 鮎子かとう あゆこ2■,https://twitter.com/katoayuko_and_s
福島2予算委員会特別委）東日本大震災復興,根本 匠ねもと たくみ8,empty
福島4国土交通委員会環境委員会特別委）政治倫理の確立・選挙制度特別委）東日本大震災復興,菅家 一郎かんけ いちろう3,https://twitter.com/kanke_ichirou
福島5法務委員会特別委）原子力問題調査,吉野 正芳よしの まさよし7,empty
福島1農林水産委員会特別委）東日本大震災復興,金子 恵美かねこ えみ2■,https://twitter.com/kaneko_emi_
福島3予算委員会内閣委員会特別委）東日本大震災復興,玄葉 光一郎げんば こういちろう8,empty
比)東北憲法審査会安全保障委員会特別委）原子力問題調査,江渡 聡徳えと あきのり6,https://twitter.com/ETO_Akinori
比)東北文部科学委員会特別委）沖縄・北方問題,亀岡 偉民かめおか よしたみ3,https://twitter.com/kameokayositami
比)東北外務大臣政務官外務委員会新,上杉 謙太郎うえすぎ けんたろう1,empty
比)東北厚生労働委員会特別委）政治倫理の確立・選挙制度,高橋 比奈子たかはし ひなこ3■,https://twitter.com/takahina7777
比)東北予算委員会法務委員会内閣委員会特別委）東日本大震災復興,藤原 崇ふじわら たかし3,https://twitter.com/iwate_fujiwara
比)東北国家基本政策委員会政治倫理審査会特別委）政治倫理の確立・選挙制度,井上 義久いのうえ よしひさ8,empty
比)東北外務委員会特別委）東日本大震災復興,小熊 慎司おぐま しんじ3,https://twitter.com/oguma_shinji
比)東北外務委員会農林水産委員会特別委）科学技術・イノベーション推進新,緑川 貴士みどりかわ たかし1,https://twitter.com/green_river15t
比)東北総務委員会特別委）東日本大震災復興新,岡本 章子おかもと あきこ1■,https://twitter.com/okamotoakiko
比)東北経済産業委員会特別委）原子力問題調査特別委）東日本大震災復興元,山崎 誠やまざき まこと2,https://twitter.com/yamazakimakoto
比)東北外務委員会特別委）東日本大震災復興元,阿久津 幸彦あくつ ゆきひこ4,https://twitter.com/akutsu0626
比)東北法務委員会文部科学委員会特別委）地方創生,寺田 学てらた まなぶ4,https://twitter.com/teratamanabu/
比)東北国土交通委員会特別委）東日本大震災復興,高橋 千鶴子たかはし ちづこ6■,https://twitter.com/chiduko916
茨城1決算行政監視委員会特別委）政治倫理の確立・選挙制度特別委）原子力問題調査,田所 嘉徳たどころ よしのり3,https://twitter.com/tadokoro_yoshi
茨城2懲罰委員会,額賀 福志郎ぬかが ふくしろう12,empty
茨城3法務委員会特別委）政治倫理の確立・選挙制度,葉梨 康弘はなし やすひろ5,empty
茨城4国家基本政策委員会,梶山 弘志かじやま ひろし7,https://twitter.com/kajiyamahiroshi
茨城5文部科学委員会経済産業委員会特別委）科学技術・イノベーション推進特別委）原子力問題調査,石川 昭政いしかわ あきまさ3,https://twitter.com/iakimasa1
茨城6法務委員会厚生労働委員会特別委）東日本大震災復興新,国光 文乃くにみつ あやの1■,https://twitter.com/ayano_kunimitsu
茨城7国家基本政策委員会,中村 喜四郎なかむら きしろう14,https://twitter.com/KishiroNakamura
栃木1憲法審査会文部科学委員会特別委）消費者問題,船田 元ふなだ はじめ12,empty
栃木3外務委員会国土交通委員会特別委）科学技術・イノベーション推進特別委）原子力問題調査,簗 和生やな かずお3,empty
栃木4国家基本政策委員会,佐藤 勉さとう つとむ8,empty
栃木5外務大臣,茂木 敏充もてぎ としみつ9,https://twitter.com/moteging
栃木2懲罰委員会,福田 昭夫ふくだ あきお5,empty
群馬1文部科学委員会外務委員会特別委）沖縄・北方問題特別委）科学技術・イノベーション推進,尾身 朝子おみ あさこ2■,empty
群馬2憲法審査会財務金融委員会厚生労働委員会安全保障委員会農林水産委員会議院運営委員会政治倫理審査会特別委）沖縄・北方問題特別委）政治倫理の確立・選挙制度,井野 俊郎いの としろう3,empty
群馬3経済産業委員会特別委）沖縄・北方問題,笹川 博義ささがわ ひろよし3,empty
群馬4経済産業委員会政治倫理審査会特別委）地方創生,福田 達夫ふくだ たつお3,https://twitter.com/TatsuoFukuda
群馬5文部科学委員会特別委）科学技術・イノベーション推進,小渕 優子おぶち ゆうこ7■,empty
埼玉1憲法審査会予算委員会厚生労働委員会農林水産委員会政治倫理審査会特別委）政治倫理の確立・選挙制度,村井 英樹むらい ひでき3,https://twitter.com/muraihideki
埼玉2憲法審査会外務委員会,新藤 義孝しんどう よしたか7,https://twitter.com/shindo_y
埼玉3内閣府副大臣,黄川田 仁志きかわだ ひとし3,https://twitter.com/kikawadahitoshi
埼玉4環境大臣政務官 内閣府大臣政務官環境委員会新,穂坂 泰ほさか やすし1,https://twitter.com/Hosaka_saitama4
埼玉7予算委員会文部科学委員会経済産業委員会特別委）災害対策,神山 佐市かみやま さいち4,https://twitter.com/KAMIYAMA_SAICHI
埼玉8憲法審査会文部科学委員会国家基本政策委員会情報監視審査会,柴山 昌彦しばやま まさひこ6,https://twitter.com/shiba_masa
